Lady on the Wall ,50.765856,15.072757
Památka ČSSR,50.765821,15.070244
Venkovní posilovna Horská,50.765355,15.064922
Graffiti,50.766262,15.065674
Graffiti Wall,50.765176,15.064197
Graffiti Wall Oblacna II,50.765003,15.064724
Liberec - Historicka Budova 1896,50.765728,15.062387
Liberec historická budova 1912,50.765797,15.061249
Jednota Bratrská,50.765805,15.064002
Božena Němcová,50.766124,15.062191
Dětské Hřiště ,50.765435,15.064503
Graffiti Oblacno,50.765282,15.063656
Textilana Liberec,50.764925,15.067832
Zena S Vetvi,50.767461,15.062308
Hanibal - Horolezecka Arena,50.763507,15.062026
Lbc Graffiti Pneu,50.763854,15.063706
Historická budova 1886,50.767118,15.060175
Římskokatolická Farnost - Perštýn,50.764018,15.060472
Staré Stavidlo,50.763754,15.06426
Tři Koule,50.765064,15.060692
Fara,50.766404,15.062011
Andilci,50.767351,15.063357
Galerie,50.767068,15.06148
Josefínino Údolí,50.767247,15.068057
Budova Minuleho Stoleti,50.766279,15.059789
Statue near Gallery Liberec,50.767334,15.06157
Modernizace Tramvajové Tratě v Úseku Klicperova-U Lomu,50.762322,15.075547
Stone Statue in the Yard,50.765434,15.073642
Socha v parčíku,50.764078,15.075816
Dětské pískoviště,50.76355,15.075664
Socha na Králáku,50.766065,15.076674
posezeni v lesoparku,50.767326,15.075848
Duplikat 2,50.767327,15.075849
Plastika U Lomu,50.763835,15.079117
Skrytý Památník,50.76242,15.065945
Lbc socha ve výklenku,50.762279,15.064402
Duplikat 3,50.762280,15.064403
VOČA park,50.766909,15.062789
Murder graffiti,50.765117,15.062552
Japonský altán,50.765846,15.068233
Colosseum - Hřiště,50.780448,15.04874
Austrian Fortified Stand,50.753656,15.006072
Chiméra,50.7774,15.079436
Informační Centrum,50.772996,15.074263
Svijany Aréna,50.753763,15.048499
Kostel Nalezení svatého Kříže,50.771043,15.052681
Bazén Liberec,50.774172,15.062282
Jasan v ul. Jestedska,50.746842,15.027718
Totem V Parku,50.746311,15.090794
Vratislavice - požární zbrojnice,50.745056,15.089784
Kriz nad parkem,50.746383,15.094647
